team_name,year,stadium_open_year,stadium_capacity
Cardinals,2001,2006,
Cardinals,2002,2006,
Cardinals,2003,2006,
Cardinals,2004,2006,
Cardinals,2005,2006,
Falcons,2001,2017,
Falcons,2002,2017,
Falcons,2003,2017,
Falcons,2004,2017,
Falcons,2005,2017,
Falcons,2006,2017,
Falcons,2007,2017,
Falcons,2008,2017,
Falcons,2009,2017,
Falcons,2010,2017,
Falcons,2011,2017,
Falcons,2012,2017,
Falcons,2013,2017,
Falcons,2014,2017,
Falcons,2015,2017,
Falcons,2016,2017,
Bears,2001,2003,
Bears,2002,2003,
Cowboys,2001,2009,
Cowboys,2002,2009,
Cowboys,2003,2009,
Cowboys,2004,2009,
Cowboys,2005,2009,
Cowboys,2006,2009,
Cowboys,2007,2009,
Cowboys,2008,2009,
Lions,2001,2002,
Colts,2001,2008,
Colts,2002,2008,
Colts,2003,2008,
Colts,2004,2008,
Colts,2005,2008,
Colts,2006,2008,
Colts,2007,2008,
Vikings,2001,2016,
Vikings,2002,2016,
Vikings,2003,2016,
Vikings,2004,2016,
Vikings,2005,2016,
Vikings,2006,2016,
Vikings,2007,2016,
Vikings,2008,2016,
Vikings,2009,2016,
Vikings,2010,2016,
Vikings,2011,2016,
Vikings,2012,2016,
Vikings,2013,2016,
Vikings,2014,2016,
Vikings,2015,2016,
Patriots,2001,2002,
Giants,2001,2010,
Giants,2002,2010,
Giants,2003,2010,
Giants,2004,2010,
Giants,2005,2010,
Giants,2006,2010,
Giants,2007,2010,
Giants,2008,2010,
Giants,2009,2010,
Jets,2001,2010,
Jets,2002,2010,
Jets,2003,2010,
Jets,2004,2010,
Jets,2005,2010,
Jets,2006,2010,
Jets,2007,2010,
Jets,2008,2010,
Jets,2009,2010,
Raiders,2001,2020,
Raiders,2002,2020,
Raiders,2003,2020,
Raiders,2004,2020,
Raiders,2005,2020,
Raiders,2006,2020,
Raiders,2007,2020,
Raiders,2008,2020,
Raiders,2009,2020,
Raiders,2010,2020,
Raiders,2011,2020,
Raiders,2012,2020,
Raiders,2013,2020,
Raiders,2014,2020,
Raiders,2015,2020,
Raiders,2016,2020,
Raiders,2017,2020,
Raiders,2018,2020,
Eagles,2001,2003,
Eagles,2002,2003,
Chargers,2001,2020,
Chargers,2002,2020,
Chargers,2003,2020,
Chargers,2004,2020,
Chargers,2005,2020,
Chargers,2006,2020,
Chargers,2007,2020,
Chargers,2008,2020,
Chargers,2009,2020,
Chargers,2010,2020,
Chargers,2011,2020,
Chargers,2012,2020,
Chargers,2013,2020,
Chargers,2014,2020,
Chargers,2015,2020,
Chargers,2016,2020,
Chargers,2017,2020,
Chargers,2018,2020,
49ers,2001,2014,
49ers,2002,2014,
49ers,2003,2014,
49ers,2004,2014,
49ers,2005,2014,
49ers,2006,2014,
49ers,2007,2014,
49ers,2008,2014,
49ers,2009,2014,
49ers,2010,2014,
49ers,2011,2014,
49ers,2012,2014,
49ers,2013,2014,
Seahawks,2001,2002,
Rams,2001,2020,
Rams,2002,2020,
Rams,2003,2020,
Rams,2004,2020,
Rams,2005,2020,
Rams,2006,2020,
Rams,2007,2020,
Rams,2008,2020,
Rams,2009,2020,
Rams,2010,2020,
Rams,2011,2020,
Rams,2012,2020,
Rams,2013,2020,
Rams,2014,2020,
Rams,2015,2020,
Rams,2016,2020,
Rams,2017,2020,
Rams,2018,2020,
